11070,sim/multiplay/generic/bool[60],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11080,sim/multiplay/generic/bool[61],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11081,sim/multiplay/generic/bool[62],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11082,sim/multiplay/generic/bool[63],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11083,sim/multiplay/generic/bool[64],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11084,sim/multiplay/generic/bool[65],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11085,sim/multiplay/generic/bool[66],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11086,sim/multiplay/generic/bool[67],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11087,sim/multiplay/generic/bool[68],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11088,sim/multiplay/generic/bool[69],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11089,sim/multiplay/generic/bool[70],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11090,sim/multiplay/generic/bool[71],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11091,sim/multiplay/generic/bool[72],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11092,sim/multiplay/generic/bool[72],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11093,sim/multiplay/generic/bool[73],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11094,sim/multiplay/generic/bool[74],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11095,sim/multiplay/generic/bool[75],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11096,sim/multiplay/generic/bool[76],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11097,sim/multiplay/generic/bool[77],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11098,sim/multiplay/generic/bool[78],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11099,sim/multiplay/generic/bool[79],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11100,sim/multiplay/generic/bool[80],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11101,sim/multiplay/generic/bool[81],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11102,sim/multiplay/generic/bool[82],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11103,sim/multiplay/generic/bool[83],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11104,sim/multiplay/generic/bool[84],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11105,sim/multiplay/generic/bool[85],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11106,sim/multiplay/generic/bool[86],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11107,sim/multiplay/generic/bool[87],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11108,sim/multiplay/generic/bool[88],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11109,sim/multiplay/generic/bool[89],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
11110,sim/multiplay/generic/bool[90],BOOL,TT_BOOLARRAY,V1_1_2_PROP_ID
